county,precinct,office,district,candidate,party,votes,election_day,early_voting,central_count
La Paz,058 QUARTZSITE TWO,U.S. House,4,"WEISSER, MIKEL",DEM,189,50,96,43
La Paz,058 QUARTZSITE TWO,U.S. House,4,Write-in,,3,2,1,0
La Paz,058 QUARTZSITE TWO,State Senate,5,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,State Senate,5,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,State Senate,5,Times Blank Voted,,287,80,140,67
La Paz,058 QUARTZSITE TWO,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,State Senate,5,"BORRELLI, SONNY",REP,469,151,242,76
La Paz,058 QUARTZSITE TWO,State Senate,5,Write-in 20,,5,1,1,3
La Paz,058 QUARTZSITE TWO,State Representative,5,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,State Representative,5,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,State Representative,5,Times Blank Voted,,83,29,37,17
La Paz,058 QUARTZSITE TWO,State Representative,5,Times Over Voted,,1,0,1,0
La Paz,058 QUARTZSITE TWO,State Representative,5,Number of Under Votes,,262,89,116,57
La Paz,058 QUARTZSITE TWO,State Representative,5,"COBB, REGINA",REP,396,120,211,65
La Paz,058 QUARTZSITE TWO,State Representative,5,"MOSLEY, PAUL",REP,417,113,224,80
La Paz,058 QUARTZSITE TWO,State Representative,5,"WEISSER, BETH",DEM,195,63,94,38
La Paz,058 QUARTZSITE TWO,State Representative,5,"BIASIUCCI, LEO",GRN,82,20,44,18
La Paz,058 QUARTZSITE TWO,State Representative,5,Write-in 60,,2,1,1,0
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Times Blank Voted,,100,32,52,16
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Number of Under Votes,,454,158,196,100
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,425,126,223,76
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,380,112,194,74
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,393,115,208,70
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,159,39,87,33
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,168,48,84,36
La Paz,058 QUARTZSITE TWO,Corporation Commissioner (Elect 3),,Write-in 80,,4,2,1,1
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Times Blank Voted,,101,35,46,20
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,"MINOR, DUCE",REP,457,143,232,82
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,"MARLER, LUKE",IND,202,54,105,43
La Paz,058 QUARTZSITE TWO,Board of Supervisors Dist. 2,,Write-in 30,,1,0,0,1
La Paz,058 QUARTZSITE TWO,County Attorney,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,County Attorney,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,County Attorney,,Times Blank Voted,,71,19,40,12
La Paz,058 QUARTZSITE TWO,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Attorney,,"FIELD, KATHY",REP,379,118,198,63
La Paz,058 QUARTZSITE TWO,County Attorney,,"ROGERS, TONY",DEM,310,95,144,71
La Paz,058 QUARTZSITE TWO,County Attorney,,Write-in 30,,1,0,1,0
La Paz,058 QUARTZSITE TWO,Sheriff,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Sheriff,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Sheriff,,Times Blank Voted,,71,20,37,14
La Paz,058 QUARTZSITE TWO,Sheriff,,Times Over Voted,,1,0,0,1
La Paz,058 QUARTZSITE TWO,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Sheriff,,"RISEN, WILLIAM",REP,504,162,250,92
La Paz,058 QUARTZSITE TWO,Sheriff,,"VIDRINE, FRANK",DEM,149,44,72,33
La Paz,058 QUARTZSITE TWO,Sheriff,,Write-in 30,,36,6,24,6
La Paz,058 QUARTZSITE TWO,County Treasurer,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,County Treasurer,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,County Treasurer,,Times Blank Voted,,199,53,103,43
La Paz,058 QUARTZSITE TWO,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Treasurer,,"CASTRO, LEAH",REP,553,178,277,98
La Paz,058 QUARTZSITE TWO,County Treasurer,,Write-in 20,,9,1,3,5
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Times Blank Voted,,91,26,47,18
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County School Superintendent,,"PRICE, JACQULINE",REP,378,110,206,62
La Paz,058 QUARTZSITE TWO,County School Superintendent,,"HEREDIA, ARMANDO",DEM,291,96,129,66
La Paz,058 QUARTZSITE TWO,County School Superintendent,,Write-in 30,,1,0,1,0
La Paz,058 QUARTZSITE TWO,County Recorder,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,County Recorder,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,County Recorder,,Times Blank Voted,,201,53,104,44
La Paz,058 QUARTZSITE TWO,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Recorder,,"BAKER, SHELLY",REP,551,178,274,99
La Paz,058 QUARTZSITE TWO,County Recorder,,Write-in 20,,9,1,5,3
La Paz,058 QUARTZSITE TWO,County Assessor,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,County Assessor,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,County Assessor,,Times Blank Voted,,204,57,102,45
La Paz,058 QUARTZSITE TWO,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,County Assessor,,"CAMACHO, ANNA",REP,548,174,277,97
La Paz,058 QUARTZSITE TWO,County Assessor,,Write-in 20,,9,1,4,4
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,Times Blank Voted,,211,72,94,45
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,YES,,422,134,214,74
La Paz,058 QUARTZSITE TWO,"Retain Justice TIMMER, ANN",,NO,,128,26,75,27
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,230,77,106,47
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,YES,,392,124,198,70
La Paz,058 QUARTZSITE TWO,"Retain Judge BROWN, MICHAEL J.",,NO,,139,31,79,29
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,Times Blank Voted,,228,77,105,46
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,YES,,401,128,205,68
La Paz,058 QUARTZSITE TWO,"Retain Judge JONES, KENTON",,NO,,132,27,73,32
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,234,78,110,46
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,YES,,394,124,199,71
La Paz,058 QUARTZSITE TWO,"Retain Judge THOMPSON, JON W.",,NO,,133,30,74,29
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,Registered Voters,,998,0,0,0
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,Times Counted,,757,232,381,144
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,Times Blank Voted,,98,38,43,17
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,Times Over Voted,,1,0,1,0
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,"ANASTASIA, CHRISTINA",,252,65,138,49
La Paz,058 QUARTZSITE TWO,Town of Quartzsite - Mayor,,"SIMPSON, NORMAN",,406,129,199,78
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Times Blank Voted,,150,53,65,32
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Times Over Voted,,1,0,0,1
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Number of Under Votes,,437,144,196,97
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,"COLLIER, DAVE \BEAR\""""",,430,124,230,76
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,"DAVIDSON, HAL",,208,63,114,31
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,"DELPINO, JOHNNY",,360,94,202,64
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,"DOLE, DENNIS",,388,111,207,70
La Paz,058 QUARTZSITE TWO,Quartzsite Fire District (Elect 3),,Write-in 70,,7,1,5,1
La Paz,058 QUARTZSITE TWO,Proposition 205,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 205,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Proposition 205,,Times Blank Voted,,60,25,22,13
La Paz,058 QUARTZSITE TWO,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 205,,YES,,331,100,147,84
La Paz,058 QUARTZSITE TWO,Proposition 205,,NO,,370,107,214,49
La Paz,058 QUARTZSITE TWO,Proposition 206,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 206,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,Proposition 206,,Times Blank Voted,,76,32,27,17
La Paz,058 QUARTZSITE TWO,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,Proposition 206,,YES,,358,99,185,74
La Paz,058 QUARTZSITE TWO,Proposition 206,,NO,,327,101,171,55
La Paz,059 CIBOLA,President,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,President,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,President,,Times Blank Voted,,0,0,0,0
La Paz,059 CIBOLA,President,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,President,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,President,,TRUMP / PENCE,REP,67,27,32,8
La Paz,059 CIBOLA,President,,CLINTON / KAINE,DEM,19,9,8,2
La Paz,059 CIBOLA,President,,JOHNSON / WELD,LIB,2,2,0,0
La Paz,059 CIBOLA,President,,STEIN / BARAKA,GRN,1,0,1,0
La Paz,059 CIBOLA,President,,Write-in,,0,0,0,0
La Paz,059 CIBOLA,U.S. Senate,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,U.S. Senate,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,U.S. Senate,,Times Blank Voted,,2,1,1,0
La Paz,059 CIBOLA,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,U.S. Senate,,"MCCAIN, JOHN",REP,65,28,28,9
La Paz,059 CIBOLA,U.S. Senate,,"KIRKPATRICK, ANN",DEM,19,8,10,1
La Paz,059 CIBOLA,U.S. Senate,,"SWING, GARY",GRN,3,1,2,0
La Paz,059 CIBOLA,U.S. Senate,,Write-in,,0,0,0,0
La Paz,059 CIBOLA,U.S. House,4,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,U.S. House,4,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,U.S. House,4,Times Blank Voted,,3,1,1,1
La Paz,059 CIBOLA,U.S. House,4,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,U.S. House,4,"GOSAR, PAUL",REP,66,28,31,7
La Paz,059 CIBOLA,U.S. House,4,"WEISSER, MIKEL",DEM,20,9,9,2
La Paz,059 CIBOLA,U.S. House,4,Write-in,,0,0,0,0
La Paz,059 CIBOLA,State Senate,5,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,State Senate,5,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,State Senate,5,Times Blank Voted,,24,12,9,3
La Paz,059 CIBOLA,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,State Senate,5,"BORRELLI, SONNY",REP,63,26,30,7
La Paz,059 CIBOLA,State Senate,5,Write-in 20,,2,0,2,0
La Paz,059 CIBOLA,State Representative,5,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,State Representative,5,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,State Representative,5,Times Blank Voted,,10,4,4,2
La Paz,059 CIBOLA,State Representative,5,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,State Representative,5,Number of Under Votes,,39,17,17,5
La Paz,059 CIBOLA,State Representative,5,"COBB, REGINA",REP,49,22,22,5
La Paz,059 CIBOLA,State Representative,5,"MOSLEY, PAUL",REP,48,20,23,5
La Paz,059 CIBOLA,State Representative,5,"WEISSER, BETH",DEM,17,7,9,1
La Paz,059 CIBOLA,State Representative,5,"BIASIUCCI, LEO",GRN,5,2,3,0
La Paz,059 CIBOLA,State Representative,5,Write-in 60,,0,0,0,0
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Times Blank Voted,,11,4,4,3
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Number of Under Votes,,70,25,38,7
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,47,24,19,4
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,45,21,20,4
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,46,24,19,3
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,13,3,9,1
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,13,5,6,2
La Paz,059 CIBOLA,Corporation Commissioner (Elect 3),,Write-in 80,,0,0,0,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Times Blank Voted,,2,0,2,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,"IRWIN, HOLLY",REP,72,34,28,10
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,"ZAKRAJSEK, GARY",IND,15,4,11,0
La Paz,059 CIBOLA,Board of Supervisors Dist. 3,,Write-in 30,,0,0,0,0
La Paz,059 CIBOLA,County Attorney,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,County Attorney,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,County Attorney,,Times Blank Voted,,4,2,2,0
La Paz,059 CIBOLA,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,County Attorney,,"FIELD, KATHY",REP,62,28,25,9
La Paz,059 CIBOLA,County Attorney,,"ROGERS, TONY",DEM,22,8,13,1
La Paz,059 CIBOLA,County Attorney,,Write-in 30,,1,0,1,0
La Paz,059 CIBOLA,Sheriff,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,Sheriff,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,Sheriff,,Times Blank Voted,,10,7,2,1
La Paz,059 CIBOLA,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,Sheriff,,"RISEN, WILLIAM",REP,55,21,28,6
La Paz,059 CIBOLA,Sheriff,,"VIDRINE, FRANK",DEM,21,9,9,3
La Paz,059 CIBOLA,Sheriff,,Write-in 30,,3,1,2,0
La Paz,059 CIBOLA,County Treasurer,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,County Treasurer,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,County Treasurer,,Times Blank Voted,,21,10,9,2
La Paz,059 CIBOLA,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,County Treasurer,,"CASTRO, LEAH",REP,65,28,30,7
La Paz,059 CIBOLA,County Treasurer,,Write-in 20,,3,0,2,1
La Paz,059 CIBOLA,County School Superintendent,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,County School Superintendent,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,County School Superintendent,,Times Blank Voted,,9,5,3,1
La Paz,059 CIBOLA,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,County School Superintendent,,"PRICE, JACQULINE",REP,62,25,29,8
La Paz,059 CIBOLA,County School Superintendent,,"HEREDIA, ARMANDO",DEM,18,8,9,1
La Paz,059 CIBOLA,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,059 CIBOLA,County Recorder,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,County Recorder,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,County Recorder,,Times Blank Voted,,15,5,8,2
La Paz,059 CIBOLA,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,County Recorder,,"BAKER, SHELLY",REP,73,33,32,8
La Paz,059 CIBOLA,County Recorder,,Write-in 20,,1,0,1,0
La Paz,059 CIBOLA,County Assessor,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,County Assessor,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,County Assessor,,Times Blank Voted,,19,8,9,2
La Paz,059 CIBOLA,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,County Assessor,,"CAMACHO, ANNA",REP,68,29,31,8
La Paz,059 CIBOLA,County Assessor,,Write-in 20,,2,1,1,0
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,Times Blank Voted,,31,13,14,4
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,YES,,47,21,20,6
La Paz,059 CIBOLA,"Retain Justice TIMMER, ANN",,NO,,11,4,7,0
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,31,13,15,3
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,YES,,45,19,20,6
La Paz,059 CIBOLA,"Retain Judge BROWN, MICHAEL J.",,NO,,13,6,6,1
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,Times Blank Voted,,32,14,15,3
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,YES,,44,18,19,7
La Paz,059 CIBOLA,"Retain Judge JONES, KENTON",,NO,,13,6,7,0
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,33,15,14,4
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,YES,,42,17,19,6
La Paz,059 CIBOLA,"Retain Judge THOMPSON, JON W.",,NO,,14,6,8,0
La Paz,059 CIBOLA,Proposition 205,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,Proposition 205,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,Proposition 205,,Times Blank Voted,,14,4,9,1
La Paz,059 CIBOLA,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,Proposition 205,,YES,,40,19,16,5
La Paz,059 CIBOLA,Proposition 205,,NO,,35,15,16,4
La Paz,059 CIBOLA,Proposition 206,,Registered Voters,,137,0,0,0
La Paz,059 CIBOLA,Proposition 206,,Times Counted,,89,38,41,10
La Paz,059 CIBOLA,Proposition 206,,Times Blank Voted,,12,4,7,1
La Paz,059 CIBOLA,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,059 CIBOLA,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,059 CIBOLA,Proposition 206,,YES,,49,23,19,7
La Paz,059 CIBOLA,Proposition 206,,NO,,28,11,15,2
La Paz,060 EHRENBERG,President,,Registered Voters,,467,0,0,0
La Paz,060 EHRENBERG,President,,Times Counted,,259,104,101,54
La Paz,060 EHRENBERG,President,,Times Blank Voted,,0,0,0,0
La Paz,060 EHRENBERG,President,,Times Over Voted,,1,1,0,0
La Paz,060 EHRENBERG,President,,Number of Under Votes,,0,0,0,0
La Paz,060 EHRENBERG,President,,TRUMP / PENCE,REP,179,72,77,30
La Paz,060 EHRENBERG,President,,CLINTON / KAINE,DEM,64,23,19,22
La Paz,060 EHRENBERG,President,,JOHNSON / WELD,LIB,6,3,2,1
La Paz,060 EHRENBERG,President,,STEIN / BARAKA,GRN,4,3,1,0
La Paz,060 EHRENBERG,President,,Write-in,,5,2,2,1
La Paz,060 EHRENBERG,U.S. Senate,,Registered Voters,,467,0,0,0
La Paz,060 EHRENBERG,U.S. Senate,,Times Counted,,259,104,101,54
La Paz,060 EHRENBERG,U.S. Senate,,Times Blank Voted,,8,3,5,0
La Paz,060 EHRENBERG,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,060 EHRENBERG,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,060 EHRENBERG,U.S. Senate,,"MCCAIN, JOHN",REP,165,67,66,32
